Column,Data Type,Skewness,Apply Transformation,Box-Cox Applicable,Yeo-Johnson Applicable,Has NaNs,NaN Count,NaN %
EqEllipseOblateVolCh1,float64,5.497484079794661,True,True,True,No,0,0.00%
EqEllipseOblateVolStatusCh1,int32,3.5153759661556716,True,False,True,No,0,0.00%
EqEllipseProlateVolCh1,float64,6.079870535526322,True,True,True,No,0,0.00%
EqEllipseProlateVolStatusCh1,int32,3.9246791635837943,True,False,True,No,0,0.00%
EqSphereAreaCh1,float64,3.530387508820203,True,True,True,No,0,0.00%
EqSphereAreaStatusCh1,int32,3.0648548804484608,True,False,True,No,0,0.00%
EqSphereVolCh1,float64,5.748044589334553,True,True,True,No,0,0.00%
EqSphereVolStatusCh1,int32,3.842086456021617,True,False,True,No,0,0.00%
FiberAlign2Ch3,float64,-0.08520415925905503,False,False,True,No,0,0.00%
FiberAlign2Ch4,float64,-0.10861726066145225,False,False,True,No,0,0.00%
FiberAlign2StatusCh3,int32,1.0443781220427644,True,False,True,No,0,0.00%
FiberAlign2StatusCh4,int32,0.7768224680304918,True,False,True,No,0,0.00%
FiberLengthCh1,float64,2.341600524765808,True,True,True,No,0,0.00%
FiberLengthStatusCh1,int32,2.797379778657942,True,False,True,No,0,0.00%
FiberWidthCh1,float64,1.110087589865922,True,True,True,No,0,0.00%
FiberWidthStatusCh1,int32,1.4827370330363643,True,False,True,No,0,0.00%
IntenCoocASMCh3,float64,2.4202846179110176,True,True,True,No,0,0.00%
IntenCoocASMCh4,float64,2.5155498795317777,True,True,True,No,0,0.00%
IntenCoocASMStatusCh3,int32,1.6028450154342395,True,False,True,No,0,0.00%
IntenCoocASMStatusCh4,int32,2.1265167752436733,True,False,True,No,0,0.00%
IntenCoocContrastCh3,float64,1.6524414319975398,True,True,True,No,0,0.00%
IntenCoocContrastCh4,float64,3.4754701284699374,True,True,True,No,0,0.00%
IntenCoocContrastStatusCh3,int32,0.8317585028200005,True,False,True,No,0,0.00%
IntenCoocContrastStatusCh4,int32,1.4021753017461165,True,False,True,No,0,0.00%
IntenCoocEntropyCh3,float64,-1.0772955733144955,True,True,True,No,0,0.00%
IntenCoocEntropyCh4,float64,-1.1620111208178443,True,True,True,No,0,0.00%
IntenCoocEntropyStatusCh3,int32,0.6964231878667301,True,False,True,No,0,0.00%
IntenCoocEntropyStatusCh4,int32,1.1176840573719358,True,False,True,No,0,0.00%
IntenCoocMaxCh3,float64,0.9791027928785958,True,True,True,No,0,0.00%
IntenCoocMaxCh4,float64,1.065409435204003,True,True,True,No,0,0.00%
IntenCoocMaxStatusCh3,int32,0.5356855252720973,True,False,True,No,0,0.00%
IntenCoocMaxStatusCh4,int32,1.0071943857321022,True,False,True,No,0,0.00%
KurtIntenCh1,float64,12.878789053640087,True,False,True,No,0,0.00%
KurtIntenCh3,float64,5.513805474910608,True,False,True,No,0,0.00%
KurtIntenCh4,float64,6.928801364701452,True,False,True,No,0,0.00%
KurtIntenStatusCh1,int32,4.5287558707250595,True,False,True,No,0,0.00%
KurtIntenStatusCh3,int32,2.610907927138547,True,False,True,No,0,0.00%
KurtIntenStatusCh4,int32,2.970813452699022,True,False,True,No,0,0.00%
LengthCh1,float64,1.9119563260479557,True,True,True,No,0,0.00%
LengthStatusCh1,int32,2.339395272143434,True,False,True,No,0,0.00%
MemberAvgAvgIntenStatusCh2,int32,,False,False,True,No,0,0.00%
MemberAvgTotalIntenStatusCh2,int32,,False,False,True,No,0,0.00%
NeighborAvgDistCh1,float64,0.3797987540524775,False,True,True,No,0,0.00%
NeighborAvgDistStatusCh1,int32,0.867302721463394,True,False,True,No,0,0.00%
NeighborMinDistCh1,float64,2.4100112658754567,True,True,True,No,0,0.00%
NeighborMinDistStatusCh1,int32,2.0850990475251825,True,False,True,No,0,0.00%
NeighborVarDistCh1,float64,-0.11288070784027734,False,True,True,No,0,0.00%
NeighborVarDistStatusCh1,int32,0.9748990161107289,True,False,True,No,0,0.00%
PerimCh1,float64,2.5933426041814696,True,True,True,No,0,0.00%
PerimStatusCh1,int32,2.8941723545242932,True,False,True,No,0,0.00%
ShapeBFRCh1,float64,-0.44541120097598974,False,True,True,No,0,0.00%
ShapeBFRStatusCh1,int32,1.235631717182717,True,False,True,No,0,0.00%
ShapeLWRCh1,float64,2.494702934330448,True,True,True,No,0,0.00%
ShapeLWRStatusCh1,int32,2.3413499135778975,True,False,True,No,0,0.00%
ShapeP2ACh1,float64,2.1608635377643233,True,True,True,No,0,0.00%
ShapeP2AStatusCh1,int32,2.9458571227570785,True,False,True,No,0,0.00%
SkewIntenCh1,float64,2.191239924090894,True,False,True,No,0,0.00%
SkewIntenCh3,float64,2.174923717229966,True,False,True,No,0,0.00%
SkewIntenCh4,float64,2.2951007940204087,True,False,True,No,0,0.00%
SkewIntenStatusCh1,int32,1.4657010857408332,True,False,True,No,0,0.00%
SkewIntenStatusCh3,int32,1.4782496705680397,True,False,True,No,0,0.00%
SkewIntenStatusCh4,int32,1.69509011887959,True,False,True,No,0,0.00%
SpotFiberCountCh3,int32,1.5623373981233963,True,False,True,No,0,0.00%
SpotFiberCountCh4,int32,2.6253760962702604,True,True,True,No,0,0.00%
SpotFiberCountStatusCh3,int32,1.2311469370542032,True,False,True,No,0,0.00%
SpotFiberCountStatusCh4,int32,2.8431468561563684,True,False,True,No,0,0.00%
TotalIntenCh1,int32,5.407640803513742,True,True,True,No,0,0.00%
TotalIntenCh2,int32,1.44709789972015,True,False,True,No,0,0.00%
TotalIntenCh3,int32,2.4352912930056156,True,True,True,No,0,0.00%
TotalIntenCh4,int32,3.154187042077426,True,True,True,No,0,0.00%
TotalIntenStatusCh1,int32,1.4528031333268654,True,False,True,No,0,0.00%
TotalIntenStatusCh2,int32,0.8131208391047745,True,False,True,No,0,0.00%
TotalIntenStatusCh3,int32,3.4829336424815924,True,False,True,No,0,0.00%
TotalIntenStatusCh4,int32,1.2622187456256009,True,False,True,No,0,0.00%
VarIntenCh1,float64,2.68192150139014,True,True,True,No,0,0.00%
VarIntenCh3,float64,2.3951841812380814,True,True,True,No,0,0.00%
VarIntenCh4,float64,2.164960838358256,True,True,True,No,0,0.00%
VarIntenStatusCh1,int32,1.430524920753196,True,False,True,No,0,0.00%
VarIntenStatusCh3,int32,1.5114329439605143,True,False,True,No,0,0.00%
VarIntenStatusCh4,int32,1.388237180662027,True,False,True,No,0,0.00%
WidthCh1,float64,1.882882603247628,True,True,True,No,0,0.00%
WidthStatusCh1,int32,2.0991000594496945,True,False,True,No,0,0.00%
XCentroid,int32,-0.10574664809206914,False,True,True,No,0,0.00%
YCentroid,int32,0.49639156584855343,False,True,True,No,0,0.00%
